Column1	Column2	Column3	Column4	Column5	Column6	Spalte1	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column7			
## Parameterisation for white-fronted goose (Hunting Study) 																					
																					
Code	Lon	Lat	b0	b1	b2		stoch	x1	x2	x3	x4	x5	y1	y2	y3	y4	y5	dee_t1	dee_t2	dee1	dee2
Netherlands	5.27	52.13	0.0001	0.001	0.0001		1.0	0	10	30	50	100	4.5	4.5	4.5	4.5	4.5	0	10	4.0	5
Germany	12.81	52.91	0.0001	0.001	0.0001		1.0	0	10	15	60	100	0	0	5	5	5	0	15	4.0	5
Poland	17.55	53.72	0.0001	0.001	0.0001		1.0	0	15	20	60	100	0	0	5.5	5.5	5.5	0	20	4.0	5
Latvia	23.83	54.88	0.0001	0.001	0.0001		1.0	0	29	30	60	100	0	0	6	6	6	0	25	4.0	5
Estonia	25.42	58.82	0.0001	0.001	0.0001		1.0	0	39	40	65	100	0	0	6.5	6.5	6.5	0	30	4.0	6
Leningrad	30.3	59.97	0.0001	0.001	0.0001		1.0	0	49	50	75	100	0	0	7	7	7	0	35	4.0	6
Arkhangelsk	40.72	64.5	0.0001	0.001	0.0001		1.0	0	59	60	85	100	0	0	7.5	7.5	7.5	0	40	4.0	6
Pechora	53.03	67.63	0.0001	0.001	0.0001		1.0	0	79	80	95	100	0	0	8	8	8	0	45	4.0	6
Kolguev	49.08	69.53	0.0001	0.001	0.0001		1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
